Cell_Lat,Cell_Lon,Mes,media_focos_mes_hist
-19.4,-51.0,1,0.3636363636363636
-19.4,-51.0,2,0.2727272727272727
-19.4,-51.0,3,0.1818181818181818
-19.4,-51.0,4,0.1818181818181818
-19.4,-51.0,7,0.2727272727272727
-19.4,-51.0,8,0.2727272727272727
-19.4,-51.0,9,0.7272727272727273
-19.4,-51.0,10,0.3636363636363636
-19.4,-51.0,11,0.0909090909090909
-19.4,-51.0,12,0.6363636363636364
-19.4,-50.9,2,0.0909090909090909
-19.4,-50.9,5,0.0909090909090909
-19.4,-50.9,8,0.0909090909090909
-19.4,-50.9,10,0.1818181818181818
-19.4,-50.9,12,0.2727272727272727
-19.3,-51.3,9,0.1818181818181818
-19.3,-51.3,10,0.1818181818181818
-19.3,-51.3,12,0.0909090909090909
-19.3,-51.2,10,0.1818181818181818
-19.3,-51.2,11,0.1818181818181818
-19.3,-51.2,12,0.1818181818181818
-19.3,-51.1,1,0.3636363636363636
-19.3,-51.1,2,0.2727272727272727
-19.3,-51.1,4,0.0909090909090909
-19.3,-51.1,6,0.1818181818181818
-19.3,-51.1,8,0.0909090909090909
-19.3,-51.1,9,0.3636363636363636
-19.3,-51.1,10,0.0909090909090909
-19.3,-51.1,11,0.0909090909090909
-19.3,-51.1,12,0.0909090909090909
-19.3,-51.0,1,1.0909090909090908
-19.3,-51.0,2,1.0909090909090908
-19.3,-51.0,3,0.7272727272727273
-19.3,-51.0,4,0.0909090909090909
-19.3,-51.0,6,0.0909090909090909
-19.3,-51.0,8,0.1818181818181818
-19.3,-51.0,9,1.0909090909090908
-19.3,-51.0,10,0.1818181818181818
-19.3,-51.0,11,0.5454545454545454
-19.3,-51.0,12,0.7272727272727273
-19.3,-50.9,1,0.6363636363636364
-19.3,-50.9,2,0.7272727272727273
-19.3,-50.9,3,0.4545454545454545
-19.3,-50.9,6,0.2727272727272727
-19.3,-50.9,7,0.4545454545454545
-19.3,-50.9,8,1.0909090909090908
-19.3,-50.9,9,0.8181818181818182
-19.3,-50.9,10,0.5454545454545454
-19.3,-50.9,11,0.6363636363636364
-19.3,-50.9,12,0.7272727272727273
-19.2,-51.5,8,0.1818181818181818
-19.2,-51.4,1,0.0909090909090909
-19.2,-51.4,2,0.1818181818181818
