Cell_Lat,Cell_Lon,Contagem,Cell_Freq,Nearest_Municipio
-19.4,-51.0,156,0.00011518644698543778,LAGOA SANTA
-19.4,-50.9,32,2.3627989125218003e-05,LAGOA SANTA
-19.3,-51.3,5,3.691873300815313e-06,LAGOA SANTA
-19.3,-51.2,8,5.906997281304501e-06,LAGOA SANTA
-19.3,-51.1,34,2.510473844554413e-05,LAGOA SANTA
-19.3,-51.0,246,0.00018164016640011342,LAGOA SANTA
-19.3,-50.9,254,0.0001875471636814179,LAGOA SANTA
-19.2,-51.5,36,2.6581487765870254e-05,ITAJÁ
-19.2,-51.4,19,1.402911854309819e-05,LAGOA SANTA
-19.2,-51.3,242,0.00017868666775946117,LAGOA SANTA
-19.2,-51.2,45,3.322685970733782e-05,LAGOA SANTA
-19.2,-51.1,51,3.765710766831619e-05,LAGOA SANTA
-19.2,-51.0,171,0.00012626206688788372,LAGOA SANTA
-19.2,-50.9,205,0.00015136680533342785,LAGOA SANTA
-19.2,-50.8,45,3.322685970733782e-05,PARANAIGUARA
-19.1,-51.8,16,1.1813994562609002e-05,ITAJÁ
-19.1,-51.7,79,5.833159815288195e-05,ITAJÁ
-19.1,-51.6,165,0.00012183181892690534,ITAJÁ
-19.1,-51.5,231,0.00017056454649766746,ITAJÁ
-19.1,-51.4,35,2.5843113105707193e-05,ITAJÁ
-19.1,-51.3,72,5.316297553174051e-05,ITAJÁ
-19.1,-51.2,81,5.980834747320808e-05,LAGOA SANTA
-19.1,-51.1,330,0.00024366363785381068,LAGOA SANTA
-19.1,-51.0,335,0.000247355511154626,LAGOA SANTA
-19.1,-50.9,212,0.0001565354279545693,PARANAIGUARA
-19.1,-50.8,86,6.350022077402338e-05,PARANAIGUARA
-19.0,-52.0,9,6.6453719414675636e-06,APORÉ
-19.0,-51.9,80,5.906997281304501e-05,APORÉ
-19.0,-51.8,11,8.12212126179369e-06,APORÉ
-19.0,-51.7,12,8.860495921956753e-06,ITAJÁ
-19.0,-51.6,115,8.491308591875221e-05,ITAJÁ
-19.0,-51.5,250,0.00018459366504076566,ITAJÁ
-19.0,-51.4,276,0.0002037914062050053,ITAJÁ
-19.0,-51.3,29,2.1412865144728817e-05,ITAJÁ
-19.0,-51.2,155,0.00011444807232527472,ITAJÁ
-19.0,-51.1,620,0.00045779228930109886,ITAJÁ
-19.0,-51.0,408,0.00030125686134652955,PARANAIGUARA
-19.0,-50.9,291,0.00021486702610745123,PARANAIGUARA
-19.0,-50.8,29,2.1412865144728817e-05,PARANAIGUARA
-18.9,-52.1,74,5.463972485206664e-05,APORÉ
-18.9,-52.0,33,2.4366363785381068e-05,APORÉ
-18.9,-51.9,69,5.0947851551251326e-05,APORÉ
-18.9,-51.8,62,4.5779228930109885e-05,APORÉ
-18.9,-51.7,34,2.510473844554413e-05,ITARUMÃ
-18.9,-51.6,100,7.383746601630626e-05,ITARUMÃ
-18.9,-51.5,142,0.0001048492017431549,ITARUMÃ
-18.9,-51.4,136,0.00010041895378217652,ITARUMÃ
-18.9,-51.3,114,8.417471125858915e-05,ITARUMÃ
-18.9,-51.2,104,7.679096465695852e-05,ITARUMÃ
-18.9,-51.1,278,0.00020526815552533142,CAÇU
-18.9,-51.0,297,0.0002192972740684296,CAÇU
-18.9,-50.9,27,1.993611582440269e-05,PARANAIGUARA
-18.9,-50.8,7,5.168622621141439e-06,PARANAIGUARA
-18.8,-52.3,55,4.0610606308968444e-05,APORÉ
-18.8,-52.2,23,1.698261718375044e-05,APORÉ
-18.8,-52.1,187,0.00013807606145049272,APORÉ
-18.8,-52.0,184,0.00013586093747000353,APORÉ
-18.8,-51.9,86,6.350022077402338e-05,APORÉ
-18.8,-51.8,195,0.0001439830587317972,APORÉ
-18.8,-51.7,159,0.00011740157096592696,ITARUMÃ
-18.8,-51.6,368,0.00027172187494000705,ITARUMÃ
-18.8,-51.5,198,0.0001461981827122864,ITARUMÃ
-18.8,-51.4,161,0.00011887832028625308,ITARUMÃ
-18.8,-51.3,269,0.00019862278358386386,ITARUMÃ
-18.8,-51.2,102,7.531421533663239e-05,CAÇU
-18.8,-51.1,225,0.0001661342985366891,CAÇU
-18.8,-51.0,55,4.0610606308968444e-05,CAÇU
-18.8,-50.9,42,3.101173572684863e-05,PARANAIGUARA
-18.8,-50.8,233,0.0001720412958179936,PARANAIGUARA
-18.8,-50.7,314,0.00023184964329120167,PARANAIGUARA
-18.7,-52.7,26,1.919774116423963e-05,CHAPADÃO DO CÉU
-18.7,-52.6,113,8.343633659842608e-05,CHAPADÃO DO CÉU
-18.7,-52.5,38,2.805823708619638e-05,CHAPADÃO DO CÉU
-18.7,-52.4,29,2.1412865144728817e-05,APORÉ
-18.7,-52.3,147,0.00010854107504397021,APORÉ
